hop,count
1280,4956
1281,5135
1282,5081
1283,5168
1284,5267
1285,5305
1286,5180
1287,5305
1288,5187
1289,5153
1290,5121
1291,5135
1292,5188
1293,5172
1294,5194
1295,5256
1296,5245
1297,5360
1298,5552
1299,5463
1300,5452
1301,5450
1302,5477
1303,5497
1304,5559
1305,5499
1306,5463
1307,5401
1308,5208
1309,5384
1310,5341
1311,5375
1312,5503
1313,5487
1314,5503
1315,5407
1316,5474
1317,5483
1318,5443
1319,5476
1320,5434
1321,5245
1322,5100
1323,5051
1324,5048
1325,5072
1326,5069
1327,4998
1328,5165
1329,5348
1330,5327
1331,5371
1332,5434
1333,5429
1334,5391
1335,5422
1336,5482
1337,5264
1338,5123
1339,5164
1340,5218
1341,5329
1342,5454
1343,5303
1344,5341
1345,5373
1346,5319
1347,5332
1348,5444
1349,5322
1350,5260
1351,5237
1352,5251
1353,5199
1354,5146
1355,5200
1356,5197
1357,5248
1358,5206
1359,5209
1360,5247
1361,5296
1362,5328
1363,5247
1364,5184
1365,5155
1366,5047
1367,5145
1368,5204
1369,5348
1370,5366
1371,5336
1372,5366
1373,5339
1374,5362
1375,5465
1376,5517
1377,5379
1378,5390
1379,5358
1380,5323
1381,5358
1382,5370
1383,5462
1384,5403
1385,5392
1386,5357
1387,5218
1388,5228
1389,5183
1390,5212
1391,5237
1392,5186
1393,5200
1394,5217
1395,5245
1396,5328
1397,5533
1398,5545
1399,5490
1400,5554
1401,5488
1402,5523
1403,5472
1404,5375
1405,5415
1406,5490
1407,5530
1408,5518
1409,5495
1410,5495
1411,5495
1412,5344
1413,5454
1414,5581
1415,5588
1416,5584
1417,5436
1418,5592
1419,5641
1420,5661
1421,5583
1422,5562
1423,5514
1424,5447
1425,5552
1426,5536
1427,5404
1428,5412
1429,5498
1430,5464
1431,5466
1432,5451
1433,5365
1434,5547
1435,5600
1436,5535
1437,5613
1438,5600
1439,5630
1440,5552
1441,5455
1442,5569
1443,5449
1444,5372
1445,5292
1446,5371
1447,5360
1448,5556
1449,5598
1450,5518
1451,5548
1452,5629
1453,5825
1454,5849
1455,5880
1456,5992
1457,5953
1458,5758
1459,5742
1460,5883
1461,5817
1462,5917
1463,6011
1464,6375
1465,6523
1466,6485
1467,6583
1468,6365
1469,6291
1470,6263
1471,6175
1472,6232
1473,6313
1474,6331
1475,6415
1476,6287
1477,6359
1478,6194
1479,6334
1480,6207
1481,6157
1482,6256
1483,6421
1484,6264
1485,6350
1486,6416
1487,6605
1488,6568
1489,6792
1490,6783
1491,6792
1492,6564
1493,6706
1494,6769
1495,6805
1496,6819
1497,7009
1498,6988
1499,6968
1500,6849
1501,6844
1502,6688
1503,6792
1504,6741
1505,6554
1506,6641
1507,6747
1508,6755
1509,6682
1510,6816
1511,6727
1512,6664
1513,6606
1514,6450
1515,6564
1516,6690
1517,6607
1518,6672
1519,6645
1520,6504
1521,6503
1522,6503
1523,6508
1524,6559
1525,6383
1526,6452
1527,6538
1528,6556
1529,6615
1530,6655
1531,6606
1532,6614
1533,6628
1534,6499
1535,6514
1536,6419
1537,6394
1538,6537
1539,6454
1540,6531
1541,6541
1542,6480
1543,6225
1544,6272
1545,6163
1546,6204
1547,6342
1548,6358
1549,6319
1550,6229
1551,6431
1552,6390
1553,6583
1554,6702
1555,6947
1556,6922
1557,6870
1558,7088
1559,7005
1560,6955
1561,7075
1562,7064
1563,6931
1564,7037
1565,7042
1566,6970
1567,7040
1568,6992
1569,7068
1570,6988
1571,7113
1572,7117
1573,7036
1574,6806
1575,6671
1576,6767
1577,6737
1578,6817
1579,7046
1580,6958
1581,6893
1582,7023
1583,6750
1584,6815
1585,7030
1586,7013
1587,7060
1588,7245
1589,7090
1590,7169
1591,7023
1592,6991
1593,7058
1594,7008
1595,7124
1596,7188
1597,7035
1598,7249
1599,7202
1600,7209
1601,7155
1602,7031
1603,7102
1604,6918
1605,6995
1606,6910
1607,6836
1608,6952
1609,6962
1610,6998
1611,6926
1612,6786
1613,6751
1614,6609
1615,6729
1616,6713
1617,6685
1618,6718
1619,6611
1620,6612
1621,6709
1622,6721
1623,6874
1624,6772
1625,6672
1626,6759
1627,6661
1628,6489
1629,6564
1630,6669
1631,6702
1632,6681
1633,6771
1634,6744
1635,6755
1636,6704
1637,6696
1638,6785
1639,6754
1640,6789
1641,6774
1642,6707
1643,6574
1644,6541
1645,6518
1646,6662
1647,6566
1648,6757
1649,6704
1650,6946
1651,6711
1652,6849
1653,6987
1654,7096
1655,7136
1656,7257
1657,7172
1658,7125
1659,7151
1660,7229
1661,7110
1662,6975
1663,6993
1664,7150
1665,7147
1666,6889
1667,6764
1668,6606
1669,6764
1670,6747
1671,6848
1672,6918
1673,7021
1674,7122
1675,7075
1676,7227
1677,7133
1678,6995
1679,7178
1680,7110
1681,7101
1682,7073
1683,6956
1684,6965
1685,7138
1686,7150
1687,7300
1688,7220
1689,7018
1690,7182
1691,7409
1692,7340
1693,7238
